path,target,Entity,Viscosity_at_150
./full_dataset/AB-001.pdb,248.05320334287617,AB-001,248.05320334287617
./full_dataset/R1-002.pdb,178.63604670693888,R1-002,178.63604670693888
./full_dataset/R1-003.pdb,294.7380247464589,R1-003,294.7380247464589
./full_dataset/R1-004.pdb,223.3162597095785,R1-004,223.3162597095785
./full_dataset/R1-005.pdb,237.0932424821884,R1-005,237.0932424821884
./full_dataset/R1-006.pdb,310.4110411608683,R1-006,310.4110411608683
./full_dataset/R1-007.pdb,145.62978485143952,R1-007,145.62978485143952
./full_dataset/R1-008.pdb,200.8019805464941,R1-008,200.8019805464941
./full_dataset/R1-009.pdb,235.7073385319486,R1-009,235.7073385319486
./full_dataset/R1-010.pdb,193.19715582442996,R1-010,193.19715582442996
./full_dataset/R1-011.pdb,269.7179636054094,R1-011,269.7179636054094
./full_dataset/R1-012.pdb,93.58020996381929,R1-012,93.58020996381929
./full_dataset/R1-013.pdb,139.5520722944306,R1-013,139.5520722944306
./full_dataset/R1-014.pdb,131.07679566240992,R1-014,131.07679566240992
./full_dataset/R1-015.pdb,112.81150214136376,R1-015,112.81150214136376
./full_dataset/R1-016.pdb,131.332208731715,R1-016,131.332208731715
./full_dataset/R1-017.pdb,177.8639678412736,R1-017,177.8639678412736
./full_dataset/R1-018.pdb,123.04306323503508,R1-018,123.04306323503508
./full_dataset/R2-001.pdb,48.67801594015455,R2-001,48.67801594015455
./full_dataset/R2-002.pdb,58.01410440905211,R2-002,58.01410440905211
./full_dataset/R2-003.pdb,54.29930352059996,R2-003,54.29930352059996
./full_dataset/R2-004.pdb,65.66330393200937,R2-004,65.66330393200937
./full_dataset/R2-005.pdb,38.15806653456817,R2-005,38.15806653456817
./full_dataset/R2-006.pdb,58.90773949066924,R2-006,58.90773949066924
./full_dataset/R2-007.pdb,52.86440716951504,R2-007,52.86440716951504
./full_dataset/R2-008.pdb,44.08655695254944,R2-008,44.08655695254944
./full_dataset/R2-009.pdb,51.41766850817672,R2-009,51.41766850817672
./full_dataset/R2-010.pdb,50.60147701306671,R2-010,50.60147701306671
./full_dataset/R2-011.pdb,64.30739505460619,R2-011,64.30739505460619
./full_dataset/R2-012.pdb,29.371831776859658,R2-012,29.371831776859658
./full_dataset/R2-013.pdb,40.02853227180434,R2-013,40.02853227180434
./full_dataset/R2-014.pdb,51.76501515360939,R2-014,51.76501515360939
./full_dataset/R2-015.pdb,35.15295650805967,R2-015,35.15295650805967
./full_dataset/R2-016.pdb,48.63965653010643,R2-016,48.63965653010643
./full_dataset/R2-017.pdb,51.64423806480896,R2-017,51.64423806480896
./full_dataset/R2-018.pdb,40.76158556472784,R2-018,40.76158556472784
./full_dataset/R2-019.pdb,52.11107493413835,R2-019,52.11107493413835
./full_dataset/R2-020.pdb,42.7065838405674,R2-020,42.7065838405674
./full_dataset/R2-021.pdb,36.404760666028416,R2-021,36.404760666028416
./full_dataset/TGN1412.pdb,6.1,TGN1412,6.1
./full_dataset/Basiliximab.pdb,8.0,Basiliximab,8.0
./full_dataset/Natalizumab.pdb,11.1,Natalizumab,11.1
./full_dataset/Tremelimumab.pdb,14.3,Tremelimumab,14.3
./full_dataset/Ipilimumab.pdb,17.8,Ipilimumab,17.8
./full_dataset/Atezolizumab.pdb,21.8,Atezolizumab,21.8
./full_dataset/Ganitumab.pdb,10.1,Ganitumab,10.1
./full_dataset/Vesencumab.pdb,11.1,Vesencumab,11.1
./full_dataset/Omalizumab.pdb,30.3,Omalizumab,30.3
./full_dataset/Cetuximab.pdb,40.9,Cetuximab,40.9
./full_dataset/Bevacizumab.pdb,6.8,Bevacizumab,6.8
./full_dataset/Golimumab.pdb,7.5,Golimumab,7.5
./full_dataset/Trastuzumab.pdb,9.2,Trastuzumab,9.2
./full_dataset/Adalimumab.pdb,11.8,Adalimumab,11.8
./full_dataset/Evolocumab.pdb,13.0,Evolocumab,13.0
./full_dataset/Pembrolizumab.pdb,10.0,Pembrolizumab,10.0
./full_dataset/R2-022.pdb,64.67920458383111,R2-022,64.67920458383111
